#Example csv file
# Begin: Backend
# Begin: Admin Menu and Titles
admin_menu_dashboard;Dashboard
admin_menu_sales_main;Sales
admin_menu_sales_orders;Orders
admin_menu_sales_orders_new_orders;New Orders
admin_menu_sales_orders_edit_orders;Edit Order
admin_menu_sales_orders_add_orders;Add Order
admin_menu_sales_orders_pending_orders;Pending Orders
admin_menu_sales_orders_accepted_orders;Accepted Orders
admin_menu_sales_orders_completed_orders;Completed Orders
admin_menu_sales_orders_rejected_orders;Rejected Orders
admin_menu_sales_orders_details_orders;Order Details
admin_menu_sales_invoices;Invoices
admin_menu_sales_wishlist;Wishlist
admin_menu_sales_wishlist_details;Wishlist Details
admin_menu_customers;Customers
admin_menu_customers_registered;Registered
admin_menu_customers_search_account;Search Account
admin_menu_customers_edit_account;Edit Account
admin_menu_customers_create_account;Create Account
admin_menu_customers_details_account;Account Details
admin_menu_customers_inactive;Inactive
admin_menu_operators;Operators
admin_menu_operators_details;Details
admin_menu_operators_edit;Edit Operator
admin_menu_operators_create;Create Operator
admin_menu_products;Products
admin_menu_products_add;Add Products
admin_menu_products_details;Product Details
admin_menu_products_edit;Edit Products
admin_menu_products_gallery;Product Gallery
admin_menu_products_add_specifications;Add Product Specifications
admin_menu_products_edit_specifications;Edit Product Specifications
admin_menu_products_edit_attributes;Edit Product Attributes
admin_menu_products_deleted;Deleted Products
admin_menu_products_custom;Custom Products
admin_menu_products_custom_product_attributes;Custom Product Attributes
admin_menu_products_accessories;Accessories
admin_menu_products_attributes_create;Product Attributes
admin_menu_products_add_product_attributes;Add Product Attributes
admin_menu_products_edit_product_attributes;Edit Product Attributes
admin_menu_products_specification_models;Specifications Models
admin_menu_products_add_specification_models;Add Specification Models
admin_menu_products_edit_specification_models;Edit Specification Models
admin_menu_products_search;Search Product
admin_menu_products_categories;Categories
admin_menu_products_categories_add;Add Categories
admin_menu_products_categories_edit;Edit Categories
admin_menu_products_categories_add_specifications;Add Category Specifications
admin_menu_products_categories_edit_specifications_group;Edit Category Specifications Group
admin_menu_products_categories_edit_specifications_model;Edit Category Specifications Model
admin_menu_products_brands;Brands
admin_menu_products_brands_add;Add Brands
admin_menu_products_brands_edit;Edit Brands
admin_menu_products_import_products;Import Products
admin_menu_products_export_products;Export Products
admin_menu_products_buffer_category;Buffer Category
admin_menu_products_buffer_category_move_products;Move to other Category
admin_menu_products_buffer_category_deleted_products;Deleted Products
admin_menu_products_out_of_stock;Out of stock
admin_menu_products_manage_stock;Manage Stock
admin_menu_products_import_sku;Import SKU
admin_menu_products_export_sku;Export SKU
admin_menu_marketing;Marketing
admin_menu_marketing_newsletter;Newsletter
admin_menu_marketing_blog_create_article;Create Article
admin_menu_marketing_blog_modify_article;Modify Article
admin_menu_marketing_subscribers;Subscribers
admin_menu_marketing_campaign_manager;Campaign Manager
admin_menu_marketing_campaign_manager_add;Add Campaign
admin_menu_marketing_campaign_manager_edit;Edit Campaign
admin_menu_marketing_campaign_manager_details;Campaign Details
admin_menu_marketing_news;News
admin_menu_marketing_news_add;Add News
