#Example csv file
# Begin: Backend
# Begin: Admin Menu and Titles
admin_menu_dashboard;Sumar
admin_menu_sales_main;Vânzări
admin_menu_sales_orders;Comenzi
admin_menu_sales_orders_new_orders;Comenzi noi
admin_menu_sales_orders_edit_orders;Modifică comanda
admin_menu_sales_orders_add_orders;Adaugă comandă
admin_menu_sales_orders_pending_orders;Comenzi în aşteptare
admin_menu_sales_orders_accepted_orders;Comenzi acceptate
admin_menu_sales_orders_completed_orders;Comenzi finalizate
admin_menu_sales_orders_rejected_orders;Comenzi respinse
admin_menu_sales_orders_details_orders;Detalii comandă
admin_menu_sales_invoices;Facturi
admin_menu_sales_wishlist;Liste de dorinţe
admin_menu_sales_wishlist_details;Detalii listă de dorinţe
admin_menu_customers;Clienti
admin_menu_customers_registered;Inregistraţi
admin_menu_customers_search_account;Căutare client
admin_menu_customers_edit_account;Modifică cont
admin_menu_customers_create_account;Crează cont
admin_menu_customers_details_account;Detalii cont
admin_menu_customers_inactive;Inactivi
admin_menu_operators;Operatori
admin_menu_operators_details;Detalii
admin_menu_operators_edit;Modifică operator
admin_menu_operators_create;Crează operator
admin_menu_products;Produse
admin_menu_products_add;Adaugă produse
admin_menu_products_details;Detalii produse
admin_menu_products_edit;Modifică produse
admin_menu_products_gallery;Galerie produse
admin_menu_products_add_specifications;Adaugă specificaţii de produs
admin_menu_products_edit_specifications;Modifică specificaţiile produsului
admin_menu_products_edit_attributes;Modifică atribute
admin_menu_products_deleted;Produse şterse
admin_menu_products_custom;Produse speciale
admin_menu_products_custom_product_attributes;Atribute produse speciale
admin_menu_products_accessories;Accesorii
admin_menu_products_attributes_create;Adaugă atribute
admin_menu_products_add_product_attributes;Asociază atribute la produse speciale
admin_menu_products_edit_product_attributes;Modifică atribute
admin_menu_products_specification_models;Modele de specificaţii
admin_menu_products_add_specification_models;Crează model de specificaţii
admin_menu_products_edit_specification_models;Modifică modelul de specificaţii
admin_menu_products_search;Caută produs
admin_menu_products_categories;Categorii
admin_menu_products_categories_add;Adaugă categorii
admin_menu_products_categories_edit;Modifică categorii
admin_menu_products_categories_add_specifications;Adaugă specificaţii categorie
admin_menu_products_categories_edit_specifications_group;Modifică grupul de specificaţii
admin_menu_products_categories_edit_specifications_model;Modifică modelul de specificaţii
admin_menu_products_brands;Branduri
admin_menu_products_brands_add;Adaugă brand
admin_menu_products_brands_edit;Modifică brand
admin_menu_products_import_products;Importă produse
admin_menu_products_export_products;Exportă produse
admin_menu_products_buffer_category;Categorie tampon
admin_menu_products_buffer_category_move_products;Mută Produsele în altă categorie
admin_menu_products_buffer_category_deleted_products;Produse şterse
admin_menu_products_out_of_stock;Lipsă stoc
admin_menu_products_manage_stock;Administrează stoc
admin_menu_products_import_sku;Importă SKU
admin_menu_products_export_sku;Exportă SKU
admin_menu_marketing;Marketing
admin_menu_marketing_newsletter;Newsletter
admin_menu_marketing_blog_create_article;Crează articol
admin_menu_marketing_blog_modify_article;Modifică articol
admin_menu_marketing_subscribers;Abonaţi
admin_menu_marketing_campaign_manager;Manager de campanii
admin_menu_marketing_campaign_manager_add;Adaugă campanie
admin_menu_marketing_campaign_manager_edit;Modifică campanie
admin_menu_marketing_campaign_manager_details;Detalii campanie
admin_menu_marketing_news;Stiri
admin_menu_marketing_news_add;Adaugă ştiri
admin_menu_marketing_news_edit;Modifică ştiri
admin_menu_marketing_customers_opinions;Opinii clienţi
admin_menu_marketing_coupons;Cupoane
admin_menu_marketing_coupons_add;Adaugă cupoane
admin_menu_marketing_coupons_edit;Modifică cupoane
admin_menu_marketing_feeds;Feed-uri
admin_menu_marketing_feeds_add;Adaugă feed-uri
admin_menu_marketing_feeds_edit;Modifică feed-uri
admin_menu_reports;Rapoarte
admin_menu_reports_time_frame;Perioada
admin_menu_reports_best_sellers;Best Sellers
admin_menu_reports_top_customers;Top clienţi
admin_menu_reports_sku_reports;Rapoarte stoc
admin_menu_cms_pages;Pagini
admin_menu_cms_pages_add_pages;Adaugă pagini
admin_menu_cms_pages_edit_pages;Modifică pagina
admin_menu_cms_headerfooter_add;Adaugă Header/Footer
admin_menu_cms_headerfooter_edit;Modifică Header/Footer
admin_menu_cms_seo_add;Adaugă SEO
admin_menu_cms_seo_edit;Modifică SEO
admin_menu_sitemap;Genereaza harta site-ului
admin_menu_cms_google_analytics_add;Adaugă cod
admin_menu_cms_google_analytics_edit;Modifică cod
admin_menu_email_templates;Sabloane email
admin_menu_email_templates_signup_email;Email de înregistrare
admin_menu_email_templates_gotsale;Mesaj Comandă efectuată
admin_menu_email_templates_gotsale_email;Mesaj comandă email
admin_menu_email_templates_forgot_password_email;Email de parolă uitată
admin_menu_email_templates_subscribers_email;Email de activare pentru abonaţi newsletter
admin_menu_plugins;Plugin-uri
admin_menu_plugins_signup_email;Email înscriere
admin_menu_settings;Setări
admin_menu_settings_site_preferences;Preferinţe site
admin_menu_settings_site_preferences_add;Adaugă preferinţe site
admin_menu_settings_site_preferences_edit;Modifică preferinţe site
admin_menu_settings_company_details;Detalii companie
admin_menu_settings_company_details_add;Adaugă detalii companie
admin_menu_settings_company_details_edit;Modifică detalii companie
admin_menu_settings_users;Utilizatori
admin_menu_settings_payments;Modalităţi de plată
admin_menu_settings_payments_add;Adaugă modalităţi de plată
admin_menu_settings_payments_edit;Modifică modalităţi de plată
admin_menu_settings_product_taxes;Taxe pe produs
admin_menu_settings_product_taxes_add;Adaugă taxă
admin_menu_settings_product_taxes_edit;Modifică taxă
admin_menu_settings_themes;Teme
admin_menu_settings_languages;Limba
admin_menu_settings_servercheck;Verificări server
admin_menu_logout;Ieşire
# End: Admin Menu and Titles

# Begin: Header
header_i_need_help;Am nevoie de ajutor
header_last_login;Ultima Autentificare:
# End: Header

# Begin: Footer
footer_newsletter;Newsletter
footer_email_address;Adresa de email
footer_button_send;Trimite
# End: Footer

# Begin: Auth Controller
auth_login_error_1;Nume utilizator sau parolă incorectă
auth_login_error_2;Eroare autentificare!
# End: Auth Controller

# Begin: Dashboard Controller
admin_dashboard_button_restrict_access;Restricţionează accesul
admin_dashboard_settings;Adrese IP admise
admin_dashboard_lifetime_sales;Total comenzi
admin_dashboard_average_order;Medie comenzi
admin_dashboard_last_5_orders;Ultimele comenzi
admin_dashboard_view_all_orders;vezi toate comenzile
admin_dashboard_date;Data
admin_dashboard_number;Nr.
admin_dashboard_customer;Client
admin_dashboard_items;Articole
admin_dashboard_grand_total;Total general
admin_dashboard_payment;Plată
admin_dashboard_total_sales;Vânzări totale
admin_dashboard_average_sales;Medie comandă
